City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
293,Manga,BF,78.89,overcast clouds,11.6636,-1.0731,Auberge du 11 décembre de la cité CNSS à Manga
302,Biloela,AU,66.24,overcast clouds,-24.4167,150.5,Silo Motor Inn Biloela
306,Lazaro Cardenas,MX,77.22,scattered clouds,17.9583,-102.2,HOTEL QUINTA ANTIGUA
309,Timizart,DZ,70.2,clear sky,36.8,4.2667,yefssah restaurant
314,Orange Cove,US,79.97,clear sky,36.6244,-119.3137,
319,Odweyne,SO,75.31,overcast clouds,9.4092,45.064,Eng Hiirey House
320,Tautira,PF,79.7,few clouds,-17.7333,-149.15,Pension Oaoa
327,Khash,IR,77.32,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
328,Elizabeth City,US,77.02,clear sky,36.2946,-76.2511,Hampton Inn Elizabeth City
329,La Palma,US,65.82,overcast clouds,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
330,Simplicio Mendes,BR,70.54,few clouds,-7.8539,-41.9103,Fidalgo
333,Cabedelo,BR,75.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
337,Lodja,CD,68.65,overcast clouds,-3.4833,23.4333,
339,Baoro,CF,68.11,overcast clouds,5.6667,15.9667,
347,Saint George,US,75.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
349,Benguela,AO,68.13,broken clouds,-12.5763,13.4055,Hotel Praia Morena
358,Lexington,US,71.49,broken clouds,37.9887,-84.4777,DoubleTree Suites by Hilton Hotel Lexington
363,Tabas,IR,70.02,dust,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
365,Brigantine,US,75.4,clear sky,39.4101,-74.3646,Legacy Vacation Resorts - Brigantine Beach
368,Touros,BR,74.89,clear sky,-5.1989,-35.4608,INN NEW HORIZON
370,Santa Isabel Do Rio Negro,BR,71.15,overcast clouds,-0.4139,-65.0192,Hotel GSA
371,Olga,RU,65.21,overcast clouds,43.7444,135.2892,Gostinitsa Rosmorport.
373,Laguna,US,79.09,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
375,Brownwood,US,69.12,overcast clouds,31.7093,-98.9912,La Quinta Inn & Suites by Wyndham Brownwood
376,Namibe,AO,66.83,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
377,Pimenta Bueno,BR,65.59,few clouds,-11.6725,-61.1936,Cristalina Palace Hotel
383,San Rafael Del Sur,NI,74.37,overcast clouds,11.8485,-86.4384,Hospedaje El Chino
384,Weymouth,US,72.75,clear sky,42.2209,-70.9398,Arbor Inn Motor Lodge
387,Los Llanos De Aridane,ES,65.95,overcast clouds,28.6585,-17.9182,Valle Aridane
393,Bartica,GY,75.52,overcast clouds,6.4,-58.6167,Sloth Island Nature Resort
395,Pinheiro,BR,70.32,moderate rain,-2.5214,-45.0825,Solares Hotel
396,Yuxia,CN,79.41,overcast clouds,34.0615,108.6291,Shanchengxuan Hotel
398,Amurzet,RU,68.83,broken clouds,47.6967,131.0981,Gostinitsa Kvartirnogo Tipa
399,Baruun-Urt,MN,74.32,broken clouds,46.6806,113.2792,Ахмадын амралт сувилал
406,Ayia Galini,GR,68.4,few clouds,35.1,24.6833,Sunningdale Bungalows
407,Roma,US,73.54,scattered clouds,43.2128,-75.4557,Wingate By Wyndham Rome
